         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    6.051    0.001    8.423    0.001 main.py:52(lennard_jones_force)
    10000    2.499    0.000    4.514    0.000 main.py:39(lennard_jones_potential)
   920619    1.549    0.000    1.549    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   920351    0.834    0.000    2.783    0.000 fromnumeric.py:69(_wrapreduction)
   920045    0.747    0.000    3.634    0.000 fromnumeric.py:2160(sum)
   920045    0.388    0.000    4.412    0.000 <__array_function__ internals>:177(sum)
   920351    0.316    0.000    0.316    0.000 fromnumeric.py:70(<dictcomp>)
951541/931112    0.302    0.000    3.997    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.271    0.271    0.704    0.704 {built-in method exec}
    32049    0.183    0.000    0.294    0.000 inspect.py:744(cleandoc)
  1177534    0.135    0.000    0.152    0.000 {built-in method builtins.isinstance}
        1    0.120    0.120   15.129   15.129 main.py:1(<module>)
   920045    0.118    0.000    0.118    0.000 fromnumeric.py:2155(_sum_dispatcher)
   927933    0.087    0.000    0.087    0.000 {method 'items' of 'dict' objects}
    10000    0.085    0.000    8.513    0.001 integrate.py:8(leapfrog)
       25    0.062    0.002    0.223    0.009 font_manager.py:1311(_findfont_cached)
       13    0.049    0.004    0.112    0.009 helpers.py:200(one_of)
    19650    0.043    0.000    0.047    0.000 font_manager.py:1188(score_stretch)
    53/51    0.043    0.001    0.046    0.001 {built-in method _imp.create_dynamic}
        1    0.041    0.041    0.042    0.042 {method 'show' of 'PySide6.QtWidgets.QWidget' objects}
     8615    0.041    0.000    0.114    0.000 inspect.py:2276(_signature_from_function)
   304203    0.033    0.000    0.033    0.000 {method 'startswith' of 'str' objects}
      304    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
554003/552701    0.031    0.000    0.031    0.000 {built-in method builtins.len}
   179322    0.028    0.000    0.047    0.000 helpers.py:260(<lambda>)
8761/8722    0.027    0.000    0.160    0.000 inspect.py:2371(_signature_from_callable)
   196308    0.026    0.000    0.026    0.000 {built-in method builtins.min}
   296487    0.023    0.000    0.023    0.000 {method 'lstrip' of 'str' objects}
    19650    0.022    0.000    0.032    0.000 font_manager.py:1130(score_family)
    23420    0.021    0.000    0.037    0.000 inspect.py:2630(__init__)
      216    0.020    0.000    0.308    0.001 artist.py:1422(get_setters)
1292/1052    0.020    0.000    0.711    0.001 {built-in method builtins.__build_class__}
    33099    0.019    0.000    0.317    0.000 inspect.py:725(getdoc)
        6    0.018    0.003    0.018    0.003 {method 'take' of 'numpy.ndarray' objects}
    20003    0.018    0.000    0.018    0.000 {built-in method numpy.zeros}
    99994    0.017    0.000    0.018    0.000 {built-in method builtins.getattr}
    19650    0.017    0.000    0.047    0.000 font_manager.py:1206(score_weight)
    38115    0.016    0.000    0.016    0.000 {method 'split' of 'str' objects}
        1    0.015    0.015    0.015    0.015 {method 'sizeHint' of 'PySide6.QtWidgets.QWidget' objects}
     8834    0.015    0.000    0.024    0.000 inspect.py:2913(__init__)
    10000    0.014    0.000    0.075    0.000 main.py:67(kinetic_energy)
   179323    0.014    0.000    0.014    0.000 helpers.py:259(<lambda>)
      767    0.014    0.000    0.015    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    10000    0.014    0.000    0.059    0.000 numeric.py:76(zeros_like)
      435    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
    32087    0.013    0.000    0.013    0.000 {method 'expandtabs' of 'str' objects}
     9093    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
    27386    0.012    0.000    0.276    0.000 artist.py:1441(is_alias)
41264/41250    0.010    0.000    0.013    0.000 {method 'join' of 'str' objects}
      216    0.010    0.000    0.207    0.001 artist.py:1347(get_aliases)
  579/243    0.010    0.000    0.024    0.000 sre_parse.py:494(_parse)
    24553    0.009    0.000    0.016    0.000 enum.py:359(__call__)
       41    0.009    0.000    0.009    0.000 {built-in method builtins.compile}
    60091    0.009    0.000    0.013    0.000 utils.py:330(<genexpr>)
      216    0.009    0.000    0.016    0.000 artist.py:1358(<listcomp>)
     8615    0.009    0.000    0.013    0.000 inspect.py:66(get_annotations)
    10000    0.008    0.000    4.566    0.000 main.py:70(potential_energy)
     4000    0.008    0.000    0.101    0.000 artist.py:1375(get_valid_values)
     8753    0.008    0.000    0.014    0.000 inspect.py:612(unwrap)
    42642    0.008    0.000    0.017    0.000 abc.py:117(__instancecheck__)
    83451    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
    42642    0.008    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
    10000    0.007    0.000    0.018    0.000 <__array_function__ internals>:177(empty_like)
    28434    0.007    0.000    0.009    0.000 inspect.py:2962(<genexpr>)
     1811    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.006    0.006    0.006    0.006 backend_qt.py:100(_create_qApp)
      721    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    10034    0.006    0.000    0.020    0.000 <__array_function__ internals>:177(copyto)
    19709    0.005    0.000    0.008    0.000 __init__.py:1455(debug)
 1228/226    0.005    0.000    0.014    0.000 sre_compile.py:87(_compile)
    10000    0.005    0.000    8.428    0.001 main.py:105(<lambda>)
    10001    0.005    0.000    0.035    0.000 std.py:1174(__iter__)
      200    0.005    0.000    0.006    0.000 sre_compile.py:292(_optimize_charset)
      392    0.005    0.000    0.005    0.000 {built-in method io.open_code}
     7614    0.005    0.000    0.054    0.000 re.py:288(_compile)
    10000    0.005    0.000    0.070    0.000 <__array_function__ internals>:177(zeros_like)
    53255    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      390    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
    19853    0.004    0.000    0.006    0.000 __init__.py:1799(_str_equal)
    43468    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
    19649    0.004    0.000    0.006    0.000 inspect.py:277(isfunction)
      473    0.004    0.000    0.017    0.000 {built-in method builtins.sum}
     8722    0.004    0.000    0.164    0.000 inspect.py:2991(from_callable)
    19969    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     2184    0.004    0.000    0.012    0.000 inspect.py:663(_finddoc)
    10276    0.004    0.000    0.058    0.000 __init__.py:653(__getitem__)
    40548    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     8722    0.004    0.000    0.168    0.000 inspect.py:3245(signature)
      114    0.004    0.000    0.276    0.002 artist.py:1491(pprint_setters)
     7445    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
        5    0.004    0.001    0.004    0.001 {built-in method gc.collect}
    59692    0.004    0.000    0.004    0.000 {built-in method unicodedata.east_asian_width}
    24545    0.003    0.000    0.004    0.000 enum.py:678(__new__)
      390    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:921(_find_spec)
