j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   44.365   44.365   49.171   49.171 main.py:1(<module>)
        1    1.987    1.987    2.414    2.414 {method 'mainloop' of '_tkinter.tkapp' objects}
    20200    1.017    0.000    1.017    0.000 {method 'random_sample' of 'numpy.random.mtrand.RandomState' objects}
    32047    0.184    0.000    0.297    0.000 inspect.py:744(cleandoc)
    10100    0.153    0.000    0.730    0.000 main.py:10(next_step)
    20212    0.076    0.000    0.076    0.000 {method 'round' of 'numpy.ndarray' objects}
       25    0.061    0.002    0.222    0.009 font_manager.py:1311(_findfont_cached)
       13    0.048    0.004    0.107    0.008 helpers.py:200(one_of)
        1    0.047    0.047    0.047    0.047 {built-in method _tkinter.create}
     8613    0.043    0.000    0.117    0.000 inspect.py:2279(_signature_from_function)
    19650    0.042    0.000    0.047    0.000 font_manager.py:1188(score_stretch)
      297    0.034    0.000    0.034    0.000 {built-in method marshal.loads}
558742/557406    0.033    0.000    0.033    0.000 {built-in method builtins.len}
   302565    0.032    0.000    0.032    0.000 {method 'startswith' of 'str' objects}
   258238    0.030    0.000    0.047    0.000 {built-in method builtins.isinstance}
8758/8721    0.027    0.000    0.164    0.000 inspect.py:2374(_signature_from_callable)
   179326    0.027    0.000    0.045    0.000 helpers.py:260(<lambda>)
   196371    0.026    0.000    0.026    0.000 {built-in method builtins.min}
      140    0.025    0.000    0.030    0.000 {method 'call' of '_tkinter.tkapp' objects}
    19650    0.023    0.000    0.033    0.000 font_manager.py:1130(score_family)
   296463    0.023    0.000    0.023    0.000 {method 'lstrip' of 'str' objects}
    23418    0.022    0.000    0.038    0.000 inspect.py:2633(__init__)
      216    0.021    0.000    0.315    0.001 artist.py:1422(get_setters)
1232/1014    0.021    0.000    0.680    0.001 {built-in method builtins.__build_class__}
   118205    0.020    0.000    0.021    0.000 {built-in method builtins.getattr}
    33099    0.019    0.000    0.320    0.000 inspect.py:725(getdoc)
    49/47    0.018    0.000    0.023    0.000 {built-in method _imp.create_dynamic}
    19650    0.017    0.000    0.048    0.000 font_manager.py:1206(score_weight)
    38054    0.017    0.000    0.017    0.000 {method 'split' of 'str' objects}
41717/21120    0.015    0.000    0.140    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8831    0.015    0.000    0.024    0.000 inspect.py:2916(__init__)
     9093    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
    32087    0.013    0.000    0.013    0.000 {method 'expandtabs' of 'str' objects}
      433    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
   179327    0.013    0.000    0.013    0.000 helpers.py:259(<lambda>)
    27386    0.012    0.000    0.278    0.000 artist.py:1441(is_alias)
40724/40710    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
    20212    0.010    0.000    0.145    0.000 <__array_function__ internals>:177(round_)
      216    0.010    0.000    0.209    0.001 artist.py:1347(get_aliases)
    20212    0.010    0.000    0.116    0.000 <__array_function__ internals>:177(around)
    20212    0.010    0.000    0.098    0.000 fromnumeric.py:3257(around)
  585/242    0.010    0.000    0.025    0.000 sre_parse.py:494(_parse)
    24386    0.010    0.000    0.015    0.000 enum.py:359(__call__)
      216    0.009    0.000    0.017    0.000 artist.py:1358(<listcomp>)
    20346    0.009    0.000    0.089    0.000 fromnumeric.py:51(_wrapfunc)
     8613    0.009    0.000    0.014    0.000 inspect.py:66(get_annotations)
    20212    0.009    0.000    0.125    0.000 fromnumeric.py:3764(round_)
     4000    0.008    0.000    0.102    0.000 artist.py:1375(get_valid_values)
    82209    0.008    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     8753    0.008    0.000    0.014    0.000 inspect.py:612(unwrap)
    42452    0.008    0.000    0.017    0.000 abc.py:117(__instancecheck__)
    42452    0.008    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    28429    0.007    0.000    0.009    0.000 inspect.py:2965(<genexpr>)
       20    0.007    0.000    0.007    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     1669    0.007    0.000    0.007    0.000 {built-in method posix.stat}
  2681/37    0.006    0.000    0.044    0.001 core.py:776(_parseNoCache)
      623    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    19743    0.005    0.000    0.008    0.000 __init__.py:1455(debug)
      205    0.005    0.000    0.006    0.000 sre_compile.py:292(_optimize_charset)
  2643/30    0.005    0.000    0.043    0.001 core.py:909(_parseCache)
 1232/225    0.005    0.000    0.015    0.000 sre_compile.py:87(_compile)
     7433    0.005    0.000    0.056    0.000 re.py:288(_compile)
      380    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      485    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
    52377    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
